"phylum","species","accession","nreads","Adenoviridae","Adintoviridae","Adomaviridae","Aliusviridae","Alloherpesviridae","Alphaflexiviridae","Alphasatellitidae","Alphatetraviridae","Alvernaviridae","Amalgaviridae","Amnoonviridae","Anelloviridae","Arenaviridae","Arteriviridae","Artoviridae","Ascoviridae","Asfarviridae","Aspiviridae","Astroviridae","Bacilladnaviridae","Baculoviridae","Barnaviridae","Benyviridae","Betaflexiviridae","Bidnaviridae","Birnaviridae","Bornaviridae","Botourmiaviridae","Bromoviridae","Caliciviridae","Carmotetraviridae","Caulimoviridae","Chrysoviridae","Chuviridae","Circoviridae","Closteroviridae","Coronaviridae","Cruciviridae","Cruliviridae","Cystoviridae","Deltaflexiviridae","Dicistroviridae","Endornaviridae","Filoviridae","Fimoviridae","Flaviviridae","Fusariviridae","Gammaflexiviridae","Geminiviridae","Genomoviridae","Hantaviridae","Hepadnaviridae","Hepeviridae","Herpesviridae","Hypoviridae","Hytrosaviridae","Iflaviridae","Inoviridae","Iridoviridae","Kitaviridae","Kolmioviridae","Lavidaviridae","Leishbuviridae","Leviviridae","Lispiviridae","Luteoviridae","Malacoherpesviridae","Marnaviridae","Marseilleviridae","Matonaviridae","Mayoviridae","Medioniviridae","Megabirnaviridae","Mesoniviridae","Metaviridae","Microviridae","Mimiviridae","Mitoviridae","Mymonaviridae","NA.","Nairoviridae","Nanoviridae","Narnaviridae","Nimaviridae","Nodaviridae","Nudiviridae","Nyamiviridae","Orthomyxoviridae","Ovaliviridae","Papillomaviridae","Paramyxoviridae","Partitiviridae","Parvoviridae","Peribunyaviridae","Permutotetraviridae","Phasmaviridae","Phenuiviridae","Phycodnaviridae","Picobirnaviridae","Picornaviridae","Pithoviridae","Pneumoviridae","Podoviridae","Polycipiviridae","Polydnaviridae","Polymycoviridae","Polyomaviridae","Portogloboviridae","Potyviridae","Poxviridae","Pseudoviridae","Qinviridae","Quadriviridae","Redondoviridae","Reoviridae","Retroviridae","Rhabdoviridae","Roniviridae","Secoviridae","Sinhaliviridae","Smacoviridae","Solemoviridae","Solinviviridae","Tobaniviridae","Togaviridae","Tombusviridae","Tospoviridae","Totiviridae","Tristromaviridae","Tymoviridae","Virgaviridae","Xinmoviridae"
"MOLLUSCA","Cochlicella_acuta","SRR5239621",225310,27,1,1,0,121,1,0,0,0,0,0,73,0,221,0,73,42,0,0,0,1070,0,0,15,0,0,0,0,1,14,0,35,0,0,1,4,117,0,0,0,0,0,4,1,0,5803,0,4,28,26,0,24,3796,1037,0,3,4,0,280,2,2,7,0,0,0,0,0,0,4733,0,0,1,0,0,4,0,46825,4788,4,48917,9,0,0,35,0,74,2,9,0,260,2,461,4,13,0,1,2,28893,1,977,4892,6,0,0,127,0,8,0,13,6216,0,0,0,0,34,4703,1,0,53,2,1,1151,0,0,1,1,0,0,0,2,3,3
"MOLLUSCA","Entalina_tetragona","SRR2057018",6810,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,31,5,0,0,0,78,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,108,0,0,0,0,0,1,87,18,0,0,0,0,32,0,11,0,0,0,0,0,0,0,205,0,0,0,0,0,1,0,2356,194,0,1466,2,0,0,3,0,4,0,2,0,4,0,31,0,0,0,0,0,631,0,21,155,0,0,0,46,0,1,0,1,198,0,0,0,0,1,483,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"MOLLUSCA","Epimenia_babai","SRR6926338",16906,5,0,0,0,35,1,0,0,0,0,0,2,0,0,0,16,2,0,0,0,67,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,11,0,0,0,0,0,0,0,0,336,0,0,1,0,0,5,438,27,0,0,0,0,90,4,0,1,0,1,0,0,1,1,801,0,0,0,0,0,2,0,5152,602,0,2657,8,0,3,5,0,35,0,0,0,5,2,11,1,0,0,0,0,661,1,6,247,0,0,0,56,0,2,0,1,416,0,0,0,0,1,2769,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
"MOLLUSCA","Hanleya_hanleyi","SRR11674123",174545,39,22,0,0,19,19,0,0,0,0,0,11,1,10,0,70,46,0,2,0,958,0,0,32,0,0,0,0,2,6,0,88,0,0,2,94,41,7,0,0,0,5,3,0,0,11171,0,0,4,3,0,5,7784,570,1,0,0,0,758,0,1,5,0,1,0,0,0,0,2215,0,0,0,0,0,4,0,30702,4404,0,46137,1,0,0,45,0,25,9,1,0,62,0,378,7,0,0,0,1,7548,2,55,2145,1,0,0,51,0,2,0,5,4407,0,0,0,0,3,21333,1,0,4,0,1,21,0,0,0,1,1,1,0,0,1,0
"MOLLUSCA","Hypomenia_sanjuanensis","SRR6926334",10714,5,17,0,0,186,0,0,0,0,0,0,2,0,1,0,3,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,20,0,0,1,32,14,0,0,0,0,3,0,1,0,554,0,0,1,0,0,1,87,6,0,4,0,0,21,0,0,1,0,1,0,0,0,0,254,0,0,0,0,0,0,0,3289,109,0,1869,1,0,0,1,0,17,0,1,0,12,0,9,0,0,0,0,0,544,0,0,86,0,0,0,14,0,0,0,0,64,0,0,0,0,2,1035,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"MOLLUSCA","Kruppomenia_borealis","SRR6926323",7161,2,3,0,0,5,1,0,0,0,0,0,0,0,0,0,25,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,7,0,0,5,2,49,1,0,0,0,5,0,0,0,323,0,0,0,0,0,28,94,17,0,0,0,0,20,0,0,0,0,1,0,0,0,1,95,0,0,0,0,0,1,5,2612,98,0,1292,1,0,0,3,8,6,0,1,0,2,2,14,2,0,0,0,0,229,0,2,94,1,0,0,25,0,0,0,2,114,0,0,0,0,2,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLLUSCA","Lepidopleurus_cajetanus","SRR8245857",20430,2,1,0,0,7,8,0,0,0,0,0,0,0,6,0,29,7,0,0,0,111,0,0,6,0,0,0,0,0,2,0,9,0,0,7,0,8,53,0,0,0,0,0,0,0,763,0,0,0,1,0,0,838,57,0,0,1,0,312,0,0,0,0,1,0,0,0,0,427,1,0,0,0,1,0,0,4792,501,0,4161,10,0,0,18,0,9,0,0,0,10,2,61,1,0,0,0,12,1119,6,0,374,8,0,0,292,0,1,0,3,439,0,0,0,0,1,2587,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"MOLLUSCA","Lepidozona_mertensii","SRR11674130",9989753,56,1,0,1,1127,13,0,0,0,0,0,204,1308,8,0,671,407,0,10,0,8210,0,0,10,0,0,0,0,1,9558096,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,20571,7,0,16,50,0,40,4813,397,0,0,0,0,989,0,0,2,0,0,0,15,13,30,10267,0,0,0,0,0,0,0,75146,4935,0,154441,27,0,0,34,0,528,0,8229,0,177,9,3291,2,1,0,0,68,14363,420,25,3998,3,0,0,224,0,11,0,43,3343,0,0,0,0,3,85026,2,16,4,0,0,0,0,1,7,0,0,5,0,7,1,0
"MOLLUSCA","Loligo_vulgaris","SRR3472303",78599,1,0,3,0,6,738,0,0,0,0,0,3,2,2,0,24,10,0,3,0,664,0,0,0,0,0,0,0,0,4,0,377,0,0,0,0,15,0,0,0,0,0,37,3,0,3124,1,3,0,14,0,5,628,214,0,10,0,0,739,0,1,6,0,1,0,0,0,0,10909,0,0,0,0,0,1,0,9314,2728,0,8012,10,0,0,27,0,34,0,0,0,44,0,139,0,1,0,0,0,2901,0,29,646,0,0,0,227,0,2,0,24,1022,0,0,0,0,1,31112,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MOLLUSCA","Lottia_sp.","SRR8318352",21566,11,0,0,0,13,604,0,0,0,0,0,3,0,1,0,78,18,0,1,0,37,0,0,1,0,0,0,30,0,12,0,0,0,0,0,0,46,0,0,0,0,2,4,1,0,682,0,0,0,0,0,0,29,34,0,0,0,0,394,0,0,0,0,0,0,0,1,0,2776,0,0,0,0,0,0,0,1856,5,0,1092,1,0,0,12,0,8,0,1,0,23,0,16,3,4,0,0,1,650,0,2,163,0,0,0,46,0,9,0,1,170,0,0,0,0,0,11235,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLLUSCA","Milax_gagates","SRR5239619",83777,30,35,0,0,151,1,0,0,0,0,0,12,0,17,0,6,14,0,3,0,266,0,0,3,0,7,0,1,0,13,0,1,0,0,5,5,32,6,0,2,4,0,2,0,0,3019,0,0,7,1,0,6,4411,556,0,1,0,2,252,0,0,0,0,2,0,0,0,6,940,0,0,0,0,0,0,0,12070,1940,0,20403,2,0,0,24,1,543,0,4,0,39,0,43,140,22,0,0,3,7035,1,6113,1249,6,0,0,965,0,1,0,12,1432,0,0,0,0,9,2330,11,0,0,0,0,8,0,0,7,4,0,2,0,0,0,0
"MOLLUSCA","Nacella_magellanica","SRR8318359",162056,3,0,0,0,37,127,0,0,0,0,0,7,0,2,0,41,15,0,0,0,848,0,0,11,0,0,0,0,0,19,0,1,1,0,6,1,103,22,1,3,0,2,13,1,0,9005,0,0,2,198,1,15,343,353,0,0,0,0,867,0,0,0,0,0,1,0,1,0,5179,0,0,0,0,0,0,0,44347,2735,0,19560,16,0,4,17,0,26,0,7,2,45,1,1032,74,3,0,0,0,19573,0,17,2195,22,0,0,273,0,11,1,50,7231,0,0,0,0,5,30557,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"MOLLUSCA","Neomenia_carinata","SRR2057026",18505,0,26,0,0,16,3,0,0,0,0,0,1,0,4,0,6,1,0,9,0,78,0,0,1,1,0,0,0,0,5,0,14,0,0,1,1,36,2,0,0,0,7,1,3,0,310,0,0,3,5,0,0,256,130,1,0,0,0,66,0,0,4,0,0,0,0,0,0,508,0,0,0,0,1,9,1,3885,931,0,2019,14,0,0,7,5,19,1,4,0,22,10,15,14,1,0,0,1,768,0,16,333,3,0,0,530,0,7,0,4,234,0,0,0,0,25,2798,4,0,0,0,0,4,0,0,2,0,0,1,0,1,0,0
"MOLLUSCA","Neotrigonia_margaritacea","SRR1505121",139004,4,173,1,0,23,19,0,0,0,0,0,5,0,14,0,17,13,0,1,0,1032,0,0,5,0,9,0,0,0,2,0,27,0,1,0,9,133,0,0,1,0,2,1,2,0,4239,1,0,0,1,4,8,3568,704,0,0,3,0,122,0,0,0,0,3,0,0,1,0,1105,0,0,0,1,5,25,0,34006,4201,0,41595,25,0,0,76,0,47,0,6,0,92,1,206,3,6,0,2,1,7079,0,65,1173,1,0,0,350,0,10,0,6,2722,0,0,0,0,2,13425,9,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0
"MOLLUSCA","Ophicardelus_sulcatus","SRR1505124",115144,40,0,1,0,80,752,0,0,0,0,0,8,0,4,0,36,35,0,0,0,813,0,0,0,0,0,0,0,0,29,0,50,0,0,11,8,164,5,0,0,1,1,0,5,0,10291,0,2,0,1,3,0,1986,719,0,1,0,1,419,0,0,28,0,0,0,1,0,0,2967,39,0,0,0,3,0,0,19643,3376,0,36498,25,0,1,37,0,75,0,5,0,20,41,274,3,0,0,0,0,3831,0,416,2434,22,0,0,187,0,7,0,4,1963,0,0,0,0,65,12616,33,1,7,0,0,1,0,0,6,6,0,0,0,9,1,0
"MOLLUSCA","Pleuropoma_jana","SRR8318351",44585,5,0,2,0,13,466,0,0,0,0,0,3,15,2,0,8,6,0,2,0,91,0,0,1,0,0,0,0,5,3,0,15,4,0,0,0,347,0,0,0,0,0,10,15,0,1656,17,0,2,1,0,363,197,179,2,0,0,0,49,1,0,0,0,1,0,0,2,0,1794,1,0,0,1,0,1,0,2585,82,0,1441,2,0,4,33,0,136,0,39,0,51,4,14,13,0,0,0,4,364,0,94,121,0,0,0,138,0,0,0,4,210,0,0,0,0,8,23628,17,0,1,0,2,2,0,5,0,0,0,8,0,5,32,0
"MOLLUSCA","Proneomenia_sluiteri","SRR6926327",8667,3,1,0,0,2,1,0,0,0,0,0,2,0,1,0,3,2,0,0,0,78,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,9,0,0,0,0,2,0,0,0,333,0,0,0,0,0,2,220,110,0,0,1,0,25,0,0,7,0,0,0,0,0,0,221,0,0,0,0,0,0,0,2433,52,0,960,1,0,0,4,0,3,0,6,0,37,24,1,0,0,0,0,0,458,0,5,143,0,0,0,31,0,2,0,4,97,0,0,0,0,0,895,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"MOLLUSCA","Satsuma_myomphala","SRR2665508",866485,34,18,1,0,131,10,0,0,0,0,0,11,0,7,0,13538,42,0,4,0,11728,0,0,2,0,0,0,1,0,9,0,1,0,0,3,4,18,0,0,0,0,0,1,15,0,26678,2,2,224,1,20,8,22508,369,2,3,0,0,7261,0,0,189,0,3,0,0,0,0,19882,1,0,0,0,0,0,0,173188,33660,0,174886,4,0,6317,93,1,460,0,429,0,932,0,636,4,0,0,0,10,39681,0,705,2258,2,0,0,326,0,9,0,20,64577,0,0,0,0,31,14315,3,0,3,0,0,4,0,15,10,1,0,0,0,6,1,0
"MOLLUSCA","Spathoderma_clenchi","SRR8258011",45301,0,10,0,0,41,0,0,0,0,0,0,0,0,0,0,7426,2,0,0,0,126,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,1,1,0,0,0,2,0,1,1,92,0,0,0,0,0,0,110,15,0,0,0,0,114,0,0,0,0,3,0,0,0,2,137,0,0,0,0,0,0,0,21547,245,0,1573,0,0,0,1,0,17,0,4,0,19,0,14,6,0,0,0,0,666,0,1,179,0,0,0,34,0,0,0,0,873,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLLUSCA","Theba_pisana","SRR2004430",150543,38,11,5,0,21,4,0,0,0,0,0,66,0,32,0,19,16,0,2,0,323,0,0,3,0,0,0,0,0,0,0,26,0,0,1,8,259,1,0,0,0,0,1,7,0,3870,0,0,11,0,0,3,8497,904,0,0,0,0,301,0,0,36,0,2,0,0,0,0,3144,0,0,0,0,0,0,0,26962,7521,0,29319,13,0,0,62,0,77,0,8,0,122,10,305,430,8,0,0,0,19578,26,1214,2605,0,0,0,55,0,29,0,23,2313,0,0,0,0,11,17400,3,0,1,0,1,0,0,1,8,0,0,0,0,27,3,0
"MOLLUSCA","Tonicia_schrammi","SRR11674132",172392,12,0,0,0,39,3,0,0,0,0,0,25,1,32,0,189,4,0,1,0,1589,0,0,7,0,0,0,0,0,5,0,18,0,1,1,0,41,1,0,0,0,0,0,1,0,9392,0,0,3,1,3,13,3003,281,0,2,0,0,759,0,0,21,0,46,0,0,0,0,4591,0,0,0,0,0,0,0,58889,5276,0,49751,18,0,0,13,0,27,0,4,0,5,2,102,2,0,0,21,7,5406,0,2,2996,0,0,0,241,0,1,0,1,5652,0,0,0,0,0,9838,19,0,0,0,0,109,0,0,2,0,1,6,0,1,83,0
"MOLLUSCA","Urosalpinx_cinerea","SRR1505141",116533,18,29,2,0,56,3,0,0,0,0,0,3,1,9,0,41,28,0,3,0,559,0,0,4,0,0,0,0,0,0,0,112,0,0,3,14,149,1,0,0,0,8,0,7,0,3787,1,1,6,2,0,3,2139,1249,1,1,1,0,436,0,3,31,0,6,0,0,0,0,4051,0,0,0,1,0,2,0,23363,3676,0,25813,67,0,0,53,0,108,0,13,0,70,10,360,4,0,0,0,1,6556,0,581,1472,5,0,0,457,1,28,1,22,1942,0,0,0,2,22,17796,8,0,0,0,0,5,0,0,43,0,0,1,0,2,1,0
"NEMATODA","Halicephalobus_mephisto","SRR8784138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Heterodera_avenae","ERR414137",225614,195,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2792,0,0,0,0,0,0,1569,195,0,0,0,0,706,0,0,0,0,0,0,0,0,0,3987,0,0,0,0,0,0,0,52881,6637,0,63882,0,0,0,111,0,81,0,0,0,0,0,3441,0,0,0,0,0,16882,0,0,3404,0,0,0,2971,0,0,0,0,12758,10,0,0,0,0,14399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Strongyloides_stercoralis","ERR146943",622950,4,0,0,0,326,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20624,0,0,0,0,0,0,8714,307,0,0,0,0,1814,0,0,0,0,0,0,0,0,0,6918,0,0,0,0,0,0,0,112873,57713,0,113233,0,0,0,422,0,297,0,0,0,0,0,8697,0,0,0,0,0,56929,0,0,1092,0,0,0,7977,0,0,0,95,19058,0,0,0,0,0,137966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Trichinella_nelsoni","SRR10446422",55829,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6474,0,0,0,0,0,0,386,3,0,0,0,0,175,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,6270,520,0,11554,936,0,0,0,0,29,0,0,0,0,0,498,0,0,0,0,0,3031,0,0,17,0,0,0,2276,0,0,0,1,1853,0,0,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Trichinella_sp.","SRR10446417",77388,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,105,1,0,1,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6997,0,0,0,0,0,0,611,35,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1118,0,0,0,0,0,0,0,15338,1306,0,12724,213,0,0,1,0,59,0,0,0,0,0,790,0,0,0,0,0,6246,0,1,62,0,0,0,1821,0,0,0,0,6001,0,0,0,0,0,8107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATOMORPHA","Gordius_sp.","SRR8943410",323646,9,0,1,0,1128,25,0,0,0,0,0,4,0,74,0,166,1342,0,0,0,9897,0,0,0,0,0,0,0,0,1,0,1415,0,0,2,0,7,0,0,0,1,0,0,2,0,22009,0,0,0,0,0,3,1363,351,0,0,0,0,3109,0,0,0,0,1,0,0,9,0,15286,0,0,0,0,0,0,0,90570,1701,0,75512,511,0,0,38,0,685,0,75,0,3,0,2294,2,202,0,0,1,13998,0,51,3681,0,0,0,6544,0,0,0,98,21884,0,0,0,0,0,9758,3,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
"NEMATOMORPHA","Nectonema_munidae","SRR8618616",550393,171,0,0,0,376,191,0,0,0,0,0,3,7,12,106,3961,846,0,4,0,4383,0,0,72,0,0,0,0,1,255,0,848,0,0,231,2,179,0,0,0,0,54,6,0,0,7398,0,38,2,117,0,58,405,4531,1,0,0,0,3561,0,0,666,0,0,0,0,3,0,28626,0,1,0,0,0,0,0,154821,5548,1,69395,0,0,61,382,0,1812,17,21,0,73,192,3536,3,5,0,0,1,51186,0,40,12153,1,0,0,12652,0,7,0,6694,20547,0,0,0,0,12,75835,352,0,0,0,0,0,0,0,1,1,0,71,0,2,119,0
"NEMATOMORPHA","Paragordius_varius","ERR1817119",1563166,80,0,1,0,207,77,0,0,0,0,0,4,0,142,194,846,12135,0,7,0,17713,0,0,37,0,0,126,0,0,32,0,6505,0,3,3,1,186,0,0,0,0,7,1,0,0,52920,0,12,1,3,0,6,3257,1856,0,0,23,0,20869,0,1,0,0,0,79,0,43,0,66056,1,0,0,0,0,2,0,436388,10730,0,370294,4284,1,0,269,0,1380,0,19139,0,11,156,70191,5,24,0,1,466,67199,0,55,24416,0,1,0,21843,1,0,0,9571,46090,0,2153,0,0,24,82299,5394,0,0,0,0,1,0,0,1,0,0,19,0,3,0,0
"NEMERTEA","Amphiporus_lactifloreus","SRR11906528",127317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9966,0,0,0,0,0,0,2635,48,0,0,0,0,208,0,0,0,0,0,0,0,0,0,1193,0,0,0,0,0,0,0,21285,8150,0,24709,123,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0,4374,0,0,135,0,0,0,5,0,0,0,0,3061,0,0,0,0,0,34943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Antarctonemertes_valida","SRR7687009",188097,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9805,0,0,0,1,0,0,11525,616,0,0,0,0,336,0,0,0,0,0,0,0,0,0,3820,0,0,0,0,0,0,0,62621,1829,0,15716,161,0,0,0,0,97,0,0,0,0,0,1343,0,0,0,0,0,13663,0,0,209,0,0,0,313,0,0,0,0,1982,0,0,0,0,0,40676,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NEMERTEA","Baseodiscus_unicolor","SRR1505175",146301,2,33,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360,0,0,0,0,0,0,1,29,0,0,0,0,88,0,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,11788,3354,0,47764,74,0,0,0,0,20,0,0,0,0,0,333,0,0,0,0,0,3298,0,0,62,0,0,0,972,0,0,0,6,2466,0,0,0,0,0,51135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Cerebratulus_marginatus","SRR618507",160445,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1865,0,0,0,0,0,0,0,158,0,0,0,0,321,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0,15386,8662,0,27839,21,0,0,2,0,45,0,0,0,0,0,596,0,0,0,0,0,4410,0,0,1534,0,0,0,309,0,0,0,0,2795,0,0,0,0,0,79593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Cerebratulus_sp.","SRR1797867",274629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9261,0,0,0,0,0,0,3,34,0,0,0,0,75,0,0,0,0,0,0,0,0,0,2638,0,0,0,0,0,0,0,22601,15458,0,64016,100,0,0,0,0,73,0,0,0,0,0,476,0,0,0,0,0,3447,0,0,1353,0,0,0,12,0,0,0,0,2112,0,0,0,0,0,130891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Hubrechtella_ijimai","SRR1505100",105481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,0,0,0,0,0,0,311,57,0,0,0,0,616,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,11653,7365,0,30595,3,0,0,301,0,66,0,0,0,0,0,604,0,0,0,0,0,3086,0,0,517,0,0,0,333,0,0,0,8,4103,0,0,0,0,0,18397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Lineus_sanguineus","SRR3581115",99204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5884,0,0,0,0,0,0,0,23,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1447,0,0,0,0,0,0,0,13175,8897,0,35489,61,0,0,0,0,60,0,0,0,0,0,477,0,0,0,0,0,2145,0,0,464,0,0,0,32,0,0,0,0,1615,0,0,0,0,0,13830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"NEMERTEA","Lineus_viridis","SRR3581106",286578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8855,0,0,0,0,0,0,3,144,0,0,0,0,254,0,0,0,0,0,0,0,0,0,3345,0,0,0,0,0,0,0,25141,15906,0,83509,297,0,0,0,0,127,0,0,0,0,0,1142,0,0,0,0,0,4290,0,0,1411,0,0,0,3,0,0,0,0,4422,0,0,0,0,0,102694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Malacobdella_grossa","SRR1611560",43004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,263,32,0,0,0,0,320,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,10994,1604,0,10673,29,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,596,0,0,151,0,0,0,4,0,0,0,0,1215,0,0,0,0,0,8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Nipponnemertes_sp.","SRR1508368",212480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2778,0,0,0,0,0,0,2488,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,22674,8510,0,37129,118,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,6424,0,0,487,0,0,0,23,0,0,0,0,2936,0,0,0,0,0,102366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Notospermus_geniculatus","SRR5811995",169069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6936,0,0,0,0,0,0,0,51,0,0,0,0,130,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,0,21593,14458,0,24684,118,0,0,0,0,37,0,0,0,0,0,177,0,0,0,0,0,4764,0,0,88,0,0,0,1,0,0,0,0,2690,0,0,0,0,0,70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Paranemertes_peregrina","SRR1611562",46312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3310,0,0,0,0,0,0,640,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,2766,3428,0,18832,5,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,399,0,0,196,0,0,0,4,0,0,0,0,226,0,0,0,0,0,12880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMERTEA","Ramphogordius_lacteus","SRR3581128",111017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954,0,0,0,0,0,0,13,52,0,0,0,0,131,0,0,0,0,0,0,0,0,0,2320,0,0,0,0,0,0,0,15562,8943,0,30907,208,0,0,0,0,88,0,0,0,0,0,637,0,0,0,0,0,3685,0,0,810,0,0,0,11,0,0,0,0,1775,0,0,0,0,0,25453,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
