phylum,species,accession,habitat,Mitoviridae,Adintoviridae,Chuviridae,Marseilleviridae,Partitiviridae,Amalgaviridae,Dicistroviridae,Fusariviridae,Totiviridae,Gammaflexiviridae,Virgaviridae,Picornaviridae,Phycodnaviridae,Mimiviridae
ANNELIDA,Amynthas_aspergillus,SRR8297750,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Amynthas_aspergillus,SRR8297751,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Amynthas_aspergillus,SRR8297752,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Amynthas_gracilis,SRR8416228,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Amynthas_gracilis,SRR8449998,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Dichogaster_saliens,SRR5353279,Terrestrial,0,0,0,0,0,0,5.97391,0,0,0,0,0,0,0
ANNELIDA,Eisenia_fetida,SRR3176544,Terrestrial,11.05976,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Eisenia_fetida,SRR5820006,Terrestrial,0,0,0,0,0,0,0,0.526982,0.612333,0,0,0,0,0
ANNELIDA,Perionyx_excavatus,SRR11266795,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Anapis_sp._GH2392,SRR12687648,Terrestrial,0,0.46568,0.986525,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Geogarypus_maculatus,SRR9331988,Terrestrial,0,0,0,0,0,0,3.53849,0,0,1.27,1.29505,0,0,0
ARTHROPODA,Hadrurus_arizonensis,SRR1721733,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Lechytia_hoffi,SRR9332011,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Leptoctenus_byrrhus,SRR10413987,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Parasteatoda_tepidariorum,DRR047012,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Trichonephila_clavipes,SRR5139318,Terrestrial,0,0,0,0,0,0,0,0,0,0,6.7719,0,0,0
CNIDARIA,Acropora_eurystoma,SRR6831340,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Acropora_eurystoma,SRR6831341,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Acropora_eurystoma,SRR6831342,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Acropora_hyacinthus,SRR8464826,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Acropora_selago,SRR11924550,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Acropora_tenuis,SRR11924535,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Amplexidiscus_fenestrafer,SRR5123106,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Amplexidiscus_fenestrafer,SRR5123111,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Amplexidiscus_fenestrafer,SRR5123113,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Amplexidiscus_fenestrafer,SRR5123115,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Amplexidiscus_fenestrafer,SRR5123116,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Astroides_calycularis,SRR12135941,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Aurelia_aurita,SRR8090261,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Exaiptasia_diaphana,SRR6202218,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Exaiptasia_diaphana,SRR6202251,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Exaiptasia_diaphana,SRR6202261,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Exaiptasia_diaphana,SRR6202279,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Exaiptasia_diaphana,SRR6202281,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Montipora_capitata,SRR11452220,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Montipora_capitata,SRR5311255,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Montipora_capitata,SRR5311305,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Porites_astreoides,SRR7359899,Marine,0,0,0,0,0,0,0,0,0,0,0,28.4589,2.07468,0
CNIDARIA,Porites_astreoides,SRR7359902,Marine,0,0,0,0,0,0,0,0,0,0,0,8.97402,0,2.7527
CNIDARIA,Porites_furcata,ERR5690683,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Porites_lobata,SRR8386734,Marine,0,7.81013,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Sphaerospora_molnari,SRR8586092,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,Xenia_sp,SRR9278451,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Angiostrongylus_cantonensis,SRR6435989,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Angiostrongylus_cantonensis,SRR6435990,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Angiostrongylus_cantonensis,SRR6435991,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Angiostrongylus_cantonensis,SRR6435992,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Anisakis_pegreffii,SRR13870209,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Brugia_malayi,SRR3111735,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Brugia_malayi,SRR5190126,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Brugia_malayi,SRR5190127,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Caenorhabditis_angaria,SRR4119960,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Meloidogyne_incognita,SRR7471735,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Meloidogyne_incognita,SRR7609916,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Meloidogyne_incognita,SRR7609918,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Meloidogyne_incognita,SRR7609920,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Meloidogyne_incognita,SRR7609923,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Nippostrongylus_brasiliensis,ERR2023646,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Nippostrongylus_brasiliensis,ERR2023647,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Nippostrongylus_brasiliensis,ERR2023648,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Pristionchus_pacificus,ERR1943703,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Pristionchus_pacificus,ERR5170364,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Steinernema_carpocapsae,SRR4119849,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Steinernema_carpocapsae,SRR8667943,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Strongyloides_papillosus,ERR1466834,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMATODA,Trichinella_pseudospiralis,SRR7007941,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Dugesia_japonica,SRR5813560,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Dugesia_japonica,SRR5813561,Freshwater,0,0.466259,0,0.568366,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Dugesia_japonica,SRR5813568,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Dugesia_japonica,SRR5813569,Freshwater,0,0,0,0,0.540625,0.411994,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Dugesia_japonica,SRR5813570,Freshwater,0,0,0,0,0.495908,0,0,0,0,0,0,0,0,11
PLATYHELMINTHES,Dugesia_japonica,SRR5813571,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Macrostomum_hystrix,SRR10504715,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Macrostomum_lignano,SRR2070848,Intertidal zone,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Prorhynchus_sp._I_CEL-2015,SRR1980663,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,Schistosoma_japonicum,SRR8196490,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORIFERA,Amphimedon_queenslandica,SRR1813038,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORIFERA,Amphimedon_queenslandica,SRR1813063,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROTIFERA,Brachionus_calyciflorus,SRR14596578,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROTIFERA,Brachionus_fernandoi,SRR10426072,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROTIFERA,Brachionus_manjavacas,SRR5197739,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UROCHORDATA,Styela_clava,SRR8599832,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
